village,District,Eastings,Nothings,Latitude,Longitude,ecoli,pH,Electrical Conductivity,turbidity,Color (Apparent),Total dissolved salts,Total Alkalinity ,Bicarbonates,Total hardness ,Calcium Hardardness ,magnesium hardness,Flouride,Chloride,sulphate,Nitrites ,Nitrates-N ,Ammonium-N ,Phosphates-P 
Kiyoora,Mukono,484135,28694,88.68121609,15.31102986,0,5.2,47,58.6,621,0,6.2,0,21,9.8,0,0.18287,0,8.28065,0.0018,0.15824,0.7069,0.13696
Bulonda,Mukono,480003,28177,89.09447294,14.9142639,0,4.5,90,1.92,2,0,5,0,13,7.8,0,0.08335,0,1.42719,0.00299,6.85782,0.002,0.02371
Katosi,Mukono,477748,16822,90.49861862,8.61757909,0,4.9,434,1.93,0.2432,0,8.4,0,67,44,0,0.09733,0,6.75086,0.00484,26.61152,0.0145,0.04084
Nakisunga,Mukono,477209,31013,88.98454184,16.49121012,0,4.7,43,2.34,18,0,8.8,0,11,7.8,0,0.0809,0,1.58269,0.00234,1.82294,0.04734,0.01742
Kisilamu,Mukono,475151,34025,88.75963314,18.22549185,0,4.8,96,2.1,5,0,17,0,24,13,0,0.11563,0,5.23856,0.00249,5.30713,0.00428,0.04775
Kitega Wanton,Mukono,473559,38474,88.2033635,20.94078467,0,5.1,122,2.84,29,0,15,0,30,15,0,0.1172,0,2.75104,0.00566,5.17801,0.12644,0.04336
Upper Kauga,Mukono,471067,40346,88.18338903,22.02391619,0,5.4,122,1.76,2,0,32,0,26,18,0,0.11354,0,1.72234,0.00832,6.14054,0.02089,0.11609
Vuumba,Luweero,0.605723,32.676042,#NUM!,-0.003406963,1,6.57,286,1.7,1,200.2,46,56.12,86.2,44.2,42,0.41131,18.3249,14.03802,0.00496,15.10519,0.04848,0.46958
Ndeeba Kakoni,Luweero,0.614298,32.68916,#NUM!,-0.003408332,44,6.45,169.9,1.6,13,118.93,51,62.22,41.2,21.2,20,0.36076,1.55855,20.59539,0.00263,4.62426,0.08792,1.03224
Bulami,Luweero,0.632672,32.700623,#NUM!,-0.00340953,1,6.64,108.5,1.9,14,75.95,37,45.14,33.4,16.4,17,0.20522,0.67499,0.80816,0.02196,3.84813,0.03488,0.33294
Kajjawo,Luweero,0.626347,32.707973,#NUM!,-0.003410296,1,5.27,187.8,1.4,8,131.46,13,15.86,29.8,15.2,14.6,0.09463,14.52271,24.96521,0.00739,10.01999,0.14477,0.17133
Zirobwe,Luweero,0.681463,32.699047,#NUM!,-0.003409373,0,6.5,1220,1.7,19,854,150,183,357.2,165.8,191.4,0.42447,173.8706,43.43394,2.30315,37.79263,0.1207,0.3615
Namakofu,Luweero,0.67265,32.674879,#NUM!,-0.003406852,1,6.74,331,2.3,12,231.7,100,122,82.6,51.8,30.8,0.77834,8.29878,36.57894,0.00639,6.15709,0.0675,0.55491
Namawojja,Luweero,0.665295,32.666728,#NUM!,-0.003406001,1,6.48,446,1.7,1,312.2,130,158.6,144.4,77.2,67.2,0.73177,27.63186,39.77444,0.00258,8.68669,0.06563,0.35988
Tawalulwa,Luweero,0.663028,32.64662,#NUM!,-0.003403904,1,6.38,302,1.9,7,211.4,110,134.2,102,46.6,55.4,0.45675,9.85516,27.66709,0.00194,3.21673,0.07008,0.38789
Nampunge,Luweero,0.661952,32.644702,#NUM!,-0.003403704,1,5.73,172.1,2,0.2432,120.47,43,52.46,38.4,17.8,20.6,0.20116,4.17567,14.80111,0.00281,4.49735,0.09176,0.21943
Lutete,Luweero,0.666747,32.614158,#NUM!,-0.00340052,1,5.17,291,1.2,0.2432,203.7,24,29.28,71.2,32.8,38.4,0.15168,45.38383,16.03626,0.00281,9.47204,0.22752,0.38024
Kaliro katono,Luweero,0.712023,32.58277,#NUM!,-0.003397254,1,6.71,642,1.7,0.2432,449.4,120,146.4,191,88.6,102.4,0.26116,18.39939,8.93293,0.02791,9.16832,0.05601,0.30606
Wobulenzi,Luweero,0.714815,32.534558,#NUM!,-0.003392228,1,5.81,303,16,5,212.1,36,43.92,89.8,39,50.8,0.04588,0.3316,0.79032,0.00225,0.03692,0.04618,0.17013
Galuweero,Luweero,0.847233,32.481705,#NUM!,-0.003386737,1,6.26,277,1.9,4,193.9,72,87.84,40,22.6,17.4,0.21946,26.19005,13.49775,0.00412,5.09561,0.08118,0.26532
Lumu,Luweero,0.842237,32.492723,#NUM!,-0.003387885,1,6.44,278,1.8,0.2432,194.6,70,85.4,78.6,42.2,36.4,0.23203,26.36292,14.59248,0.00238,4.87447,0.06095,0.28844
Bulyake,Nakaseke,0.721368,32.480843,#NUM!,-0.003386628,1,6,235,13,7,164.5,78,95.16,69,38,31,0.21303,5.45488,17.79477,0.01191,1.48263,0.1971,0.20126
Namasujja A,Nakaseke,0.72946,32.474103,#NUM!,-0.003385927,1,5.61,264,3,0.2432,184.8,48,58.56,90.2,28.8,61.4,1.10427,26.99087,9.59994,0.01132,2.07212,0.03498,0.21356
Namasujja A,Nakaseke,0.726038,32.4731655,#NUM!,-0.003385828,1,5.31,126.7,1.9,0.2432,88.69,17,20.74,26,12.2,13.8,0.202,3.56735,5.92449,0.02316,0.95399,0.06833,0.17361
Kaasangombe,Nakaseke,0.738432,32.462983,#NUM!,-0.003384768,1,6.47,287,1.6,0.2432,200.9,105,128.1,120,41.2,78.8,0.18204,11.17057,11.21301,0.00872,5.63705,0.08723,0.1753
Nambega,Nakaseke,0.74084,32.419403,#NUM!,-0.003380225,1,6.72,259,9.3,39,181.3,105,128.1,80.6,63.4,17.2,0.2215,9.09889,15.13232,0.003,7.00937,0.06554,0.25961
Kiziba,Nakaseke,0.729647,32.401072,#NUM!,-0.003378312,1,6.31,151.4,7.6,0.2432,105.98,51,62.22,41.6,18.4,23.2,0.20848,5.1866,16.87301,0.01114,1.40237,0.04523,0.17298
Lufula zone,Nakaseke,0.72159,32.400658,#NUM!,-0.003378268,1,6.85,507,2.1,0.2432,354.9,195,237.9,153.8,65.8,88,1.07831,27.59255,37.65802,0.01312,2.14827,0.08325,0.18601
Church zone,Nakaseke,0.726592,32.407033,#NUM!,-0.003378933,1,5.84,160.5,21,1,112.35,65,79.3,154.2,67.4,86.8,0.22763,3.75531,10.3992,0.02339,0.81859,0.10292,0.17207
Kasambya A,Nakaseke,0.770128,32.407892,#NUM!,-0.003379029,32,5.81,70,12,210,49,19,23.18,43.8,15.8,28,0.1025,6.4142,2.62863,0.00379,1.43968,0.06578,0.22459
Kasambya A,Nakaseke,0.765537,32.408732,#NUM!,-0.003379116,1,5.85,188.6,2.7,12,132.02,70,85.4,27.6,6.2,21.4,0.20169,7.60436,1.14147,0.01078,2.35765,0.0453,0.19975
Kamuli,Nakaseke,0.79153,32.399405,#NUM!,-0.003378147,1,5.77,203.2,1.9,8,142.24,53,64.66,47.2,23.2,24,0.22966,9.0262,15.57199,0.00245,6.23732,0.05197,0.25396
Lwabijogo,Nakaseke,0.833147,32.365718,#NUM!,-0.003374641,1,6.25,249,1.2,1,174.3,105,128.1,66,31.8,34.2,0.38535,3.53109,21.21111,0.00268,1.4576,0.02906,0.27007
Nakaseta zone,Nakaseke,0.841738,32.363862,#NUM!,-0.003374449,1,6.92,240,3.8,14,168,62,75.64,79.2,39.2,40,0.18189,6.60401,33.75182,0.01304,7.42631,-0.00623,0.14626
Central zone,Nakaseke,0.843922,32.364662,#NUM!,-0.003374532,1,6.2,347,2.1,4,242.9,92,112.24,56,32.2,23.8,0.26532,11.56756,26.34086,0.00522,8.96466,0.04094,0.25012
Magoma,Nakaseke,0.8465,32.391598,#NUM!,-0.003377341,1,6.54,166.6,1.8,3,116.62,55,67.1,101.2,48.2,53,0.26067,0.87978,24.81616,0.00679,2.4739,0.03355,0.31084
Kalina zone,Nakasongola,1.052127,32.467492,#NUM!,-0.003385285,1,7.35,420,1.8,0.2432,294,220,268.4,170.2,86,84.2,1.63313,3.32715,1.52247,0.00463,0.20578,0.03327,0.17559
Katugo,Nakasongola,1.156917,32.464505,#NUM!,-0.003384989,0,6.73,867,2,0.2432,606.9,135,164.7,328.2,146,182.2,0.57474,157.8716,60.28844,0.00441,6.17978,0.03644,0.48381
Kyankanwa,Nakasongola,1.198533,32.463472,#NUM!,-0.003384887,1,6.8,498,1.9,0.2432,348.6,115,140.3,162.4,84.4,78,0.37793,61.62422,17.80692,0.00926,7.90487,0.09276,0.33207
Wabigalo,Nakasongola,1.25125,32.458779,#NUM!,-0.003384406,1,6.77,141.5,2.4,21,99.05,40,48.8,38.2,18.8,19.4,0.34141,11.53516,0.55631,0.00247,0.9069,0.06189,0.30125
Kansirye,Nakasongola,1.294542,32.464752,#NUM!,-0.003385035,10,6.57,134.9,2.6,25,94.43,40,48.8,36.6,17.8,18.8,0.20278,10.88303,0.61037,0.00216,0.21933,0.08306,0.15353
Nakasongola A,Nakasongola,1.308018,32.465283,#NUM!,-0.003385092,1,6.56,334,1.8,3,233.8,120,146.4,98.6,48.4,50.2,0.31604,31.06985,1.02528,0.00362,6.71163,0.04876,0.36045
Nakasongola A,Nakasongola,1.312917,32.465301,#NUM!,-0.003385095,10,6.65,144.6,2.8,29,101.22,42,51.24,43.2,19,24.2,0.10825,11.56837,1.12525,0.0022,0.34537,0.08495,0.16824
Nakasongola  ,Nakasongola,1.313042,32.465025,#NUM!,-0.003385066,32,6.23,666,2.1,4,466.2,130,158.6,135.8,68.4,67.4,0.62627,67.92879,12.34891,0.00746,28.99053,0.08557,0.1888
Ssasira,Nakasongola,1.333789,32.416601,#NUM!,-0.00338002,1,6.01,264,1.8,0.2432,184.8,92,112.24,52.4,25.4,27,0.17837,12.12451,23.25799,0.00299,3.02935,0.03195,0.15911
Kigulu,Buikwe,491344,26890,88.50141483,14.3727814,1,6.4,132,2.5,20,92.4,50,61,40.2,22.4,17.8,0.24,3.9,0.9,0.01,3.16,0.11,0.07
Kibali,Buikwe,498726,26789,88.34315728,14.35885361,1,5.8,166,1.7,0.2432,116.2,52,63.44,57.6,34.8,22.8,0.19,8.1,6.5,0.001,4.62,0.06,0.13
Nakigaya,Buikwe,506445,30251,87.97905853,16.37665075,101,5.9,87,3.1,27,60.9,37,45.14,31.4,14.2,17.2,0.2,1.7,3.5,0.001,2.44,0.08,0.02
Kigayi,Buikwe,504301,32217,87.64100248,17.58774677,1,5.9,81,13,22,56.7,38,46.36,35.2,27,8.2,0.13,1.3,0.8,0.02,0.25,0.04,0.04
Majija,Buikwe,503217,33566,87.41649508,18.43014881,1,6.4,142,1.4,0.2432,99.4,65,79.3,49.6,27,22.6,0.25,2.5,0.8,0.001,1.22,0.09,0.05
Misindye upper,Buikwe,503034,38598,86.57250797,21.68293707,1,6.8,279,2.2,3,195.3,130,158.6,114.2,61.4,52.8,0.24,7.4,1.5,0.001,0.69,0.17,0.18
